Rk,Gcar,Gtm,Date,Team,Unnamed: 5,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,PTS_prev,AST_prev
1.0,387.0,1.0,2024-10-24,OKC,@,DEN,W 102-87,*,36:12:00,11,24,0.458,2,6,0.333,9,18,0.5,0.5,4,5,0.8,2,5,7,8.0,2,3,2,2,28.0,25,8,0.0,0.0
2.0,388.0,2.0,2024-10-26,OKC,@,CHI,W 114-95,*,29:30:00,9,21,0.429,2,9,0.222,7,12,0.583,0.476,3,3,1,2,6,8,2.0,4,0,1,1,23.0,19.1,23,28.0,8.0
3.0,389.0,3.0,2024-10-27,OKC,,ATL,W 128-104,*,36:01:00,11,24,0.458,3,8,0.375,8,16,0.5,0.521,10,11,0.909,2,9,11,9.0,3,3,1,3,35.0,35.5,24,23.0,2.0
4.0,390.0,4.0,2024-10-30,OKC,,SAS,W 105-93,*,27:35:00,7,20,0.35,2,10,0.2,5,10,0.5,0.4,2,2,1,0,4,4,5.0,1,0,1,1,18.0,11.1,3,35.0,9.0
5.0,391.0,5.0,2024-11-01,OKC,@,POR,W 137-114,*,28:23:00,12,18,0.667,1,6,0.167,11,12,0.917,0.694,5,6,0.833,1,6,7,6.0,1,0,3,1,30.0,26.1,25,18.0,5.0
6.0,392.0,6.0,2024-11-02,OKC,@,LAC,W 105-92,*,31:20:00,7,14,0.5,2,4,0.5,5,10,0.5,0.571,9,9,1,0,3,3,9.0,0,1,3,2,25.0,22.1,8,30.0,6.0
7.0,393.0,7.0,2024-11-04,OKC,,ORL,W 102-86,*,35:04:00,8,16,0.5,1,3,0.333,7,13,0.538,0.531,4,4,1,0,6,6,9.0,1,0,4,4,21.0,16.5,18,25.0,9.0
8.0,394.0,8.0,2024-11-06,OKC,@,DEN,L 122-124,*,38:49:00,10,19,0.526,0,3,0,10,16,0.625,0.526,8,10,0.8,0,2,2,6.0,1,1,8,1,28.0,16,3,21.0,9.0
9.0,395.0,9.0,2024-11-08,OKC,,HOU,W 126-107,*,29:02:00,11,16,0.688,1,2,0.5,10,14,0.714,0.719,6,7,0.857,1,4,5,4.0,1,1,3,2,29.0,24.4,5,28.0,6.0
10.0,396.0,10.0,2024-11-10,OKC,,GSW,L 116-127,*,33:44:00,6,17,0.353,0,2,0,6,15,0.4,0.353,12,14,0.857,1,4,5,4.0,0,1,4,0,24.0,15.1,-11,29.0,4.0
11.0,397.0,11.0,2024-11-11,OKC,,LAC,W 134-128,*,39:21:00,13,21,0.619,4,8,0.5,9,13,0.692,0.714,15,16,0.938,0,3,3,9.0,5,2,1,3,45.0,46.5,8,24.0,4.0
12.0,398.0,12.0,2024-11-13,OKC,,NOP,W 106-88,*,32:37:00,12,25,0.48,3,7,0.429,9,18,0.5,0.54,2,3,0.667,0,5,5,5.0,2,2,2,0,29.0,22.3,18,45.0,9.0
13.0,399.0,13.0,2024-11-15,OKC,,PHO,W 99-83,*,32:56:00,11,25,0.44,2,7,0.286,9,18,0.5,0.48,4,4,1,3,3,6,4.0,0,1,2,2,28.0,18.6,21,29.0,5.0
14.0,400.0,14.0,2024-11-17,OKC,,DAL,L 119-121,*,38:28:00,13,19,0.684,1,1,1,12,18,0.667,0.711,9,11,0.818,0,2,2,8.0,2,2,1,1,36.0,35.3,8,28.0,4.0
15.0,401.0,15.0,2024-11-19,OKC,@,SAS,L 104-110,*,37:16:00,11,20,0.55,5,8,0.625,6,12,0.5,0.675,5,6,0.833,0,3,3,8.0,3,0,4,3,32.0,26.3,2,36.0,8.0
16.0,402.0,16.0,2024-11-20,OKC,,POR,W 109-99,*,38:42:00,7,19,0.368,0,2,0,7,17,0.412,0.368,14,14,1,2,3,5,4.0,3,1,2,2,28.0,23.5,7,32.0,8.0
