Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,312,1,2023-10-25,OKC,@,CHI,W 124-104,*,36:01:00,12,18,0.667,2,5,0.4,10,13,0.769,0.722,5,5,1,0,5,5,10,1,2,1,0,31,33.1,19
2,313,2,2023-10-27,OKC,@,CLE,W 108-105,*,35:57:00,15,26,0.577,2,2,1,13,24,0.542,0.615,2,2,1,1,10,11,4,5,1,5,2,34,28.2,4
3,314,3,2023-10-29,OKC,,DEN,L 95-128,*,28:19:00,2,16,0.125,0,4,0,2,12,0.167,0.125,3,4,0.75,1,3,4,7,1,0,0,2,7,2.9,-22
4,315,4,2023-10-30,OKC,,DET,W 124-112,*,32:52:00,11,23,0.478,1,3,0.333,10,20,0.5,0.5,9,9,1,1,8,9,4,3,0,5,2,32,23.4,17
5,316,5,2023-11-01,OKC,,NOP,L 106-110,*,38:05:00,8,20,0.4,0,5,0,8,15,0.533,0.4,4,5,0.8,0,5,5,8,3,0,2,2,20,16.1,3
5,,6,2023-11-03,OKC,,GSW,L 139-141,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,317,7,2023-11-06,OKC,,ATL,W 126-117,*,37:27:00,11,20,0.55,3,7,0.429,8,13,0.615,0.625,5,6,0.833,1,7,8,6,1,0,2,5,30,24,14
7,318,8,2023-11-08,OKC,,CLE,W 128-120,*,37:36:00,15,22,0.682,1,2,0.5,14,20,0.7,0.705,12,13,0.923,2,5,7,6,2,1,3,3,43,38.8,10
8,319,9,2023-11-10,OKC,@,SAC,L 98-105,*,37:41:00,14,25,0.56,0,2,0,14,23,0.609,0.56,5,6,0.833,0,7,7,5,2,2,2,1,33,27.3,-3
9,320,10,2023-11-12,OKC,@,PHO,W 111-99,*,36:50:00,13,22,0.591,2,5,0.4,11,17,0.647,0.636,7,8,0.875,0,7,7,4,1,1,1,3,35,28.8,7
10,321,11,2023-11-14,OKC,,SAS,W 123-87,*,28:04:00,10,16,0.625,1,4,0.25,9,12,0.75,0.656,7,7,1,1,5,6,5,7,0,2,2,28,30.7,25
11,322,12,2023-11-16,OKC,@,GSW,W 128-109,*,29:16:00,6,21,0.286,3,7,0.429,3,14,0.214,0.357,9,9,1,1,1,2,7,3,1,2,4,24,17.7,12
12,323,13,2023-11-18,OKC,@,GSW,W 130-123 (OT),*,40:41:00,18,29,0.621,2,3,0.667,16,26,0.615,0.655,2,2,1,1,6,7,6,2,2,3,1,40,33.6,7
13,324,14,2023-11-19,OKC,@,POR,W 134-91,*,22:31,10,13,0.769,1,1,1,9,12,0.75,0.808,7,7,1,0,3,3,4,1,0,3,2,28,23.8,26
14,325,15,2023-11-22,OKC,,CHI,W 116-102,*,36:43:00,11,19,0.579,1,3,0.333,10,16,0.625,0.605,17,18,0.944,1,4,5,12,1,3,2,2,40,41.3,16
15,326,16,2023-11-25,OKC,,PHI,L 123-127,*,36:11:00,10,21,0.476,1,2,0.5,9,19,0.474,0.5,10,10,1,3,3,6,5,2,0,1,3,31,26.6,1
16,327,17,2023-11-28,OKC,@,MIN,L 103-106,*,33:59:00,13,22,0.591,0,1,0,13,21,0.619,0.591,6,6,1,1,3,4,4,3,2,3,2,32,26.8,4
17,328,18,2023-11-30,OKC,,LAL,W 133-110,*,34:56:00,11,18,0.611,1,4,0.25,10,14,0.714,0.639,10,10,1,0,4,4,7,1,0,0,4,33,30.3,15
18,329,19,2023-12-02,OKC,@,DAL,W 126-120,*,38:33:00,6,13,0.462,2,3,0.667,4,10,0.4,0.538,3,4,0.75,1,2,3,9,5,1,2,4,17,19.6,8
19,330,20,2023-12-06,OKC,@,HOU,L 101-110,*,36:58:00,13,18,0.722,0,0,,13,18,0.722,0.722,7,9,0.778,0,3,3,6,6,1,2,4,33,33,-6
20,331,21,2023-12-08,OKC,,GSW,W 138-136 (OT),*,42:20:00,15,30,0.5,0,3,0,15,27,0.556,0.5,8,11,0.727,3,2,5,5,5,1,0,4,38,32.1,11
21,332,22,2023-12-11,OKC,,UTA,W 134-120,*,27:57:00,12,17,0.706,0,1,0,12,16,0.75,0.706,6,6,1,1,3,4,7,3,0,1,1,30,31,35
22,333,23,2023-12-14,OKC,@,SAC,L 123-128,*,38:12:00,13,27,0.481,1,5,0.2,12,22,0.545,0.5,16,18,0.889,2,4,6,9,2,0,3,2,43,35.6,3
23,334,24,2023-12-16,OKC,@,DEN,W 118-117,*,36:55:00,9,20,0.45,0,2,0,9,18,0.5,0.45,7,8,0.875,0,6,6,8,2,0,2,1,25,21.2,3
24,335,25,2023-12-18,OKC,,MEM,W 116-97,*,28:24:00,8,18,0.444,1,3,0.333,7,15,0.467,0.472,13,14,0.929,0,9,9,5,4,0,2,4,30,26.8,30
25,336,26,2023-12-21,OKC,,LAC,W 134-115,*,32:08:00,11,25,0.44,1,6,0.167,10,19,0.526,0.46,8,9,0.889,2,6,8,4,4,2,1,0,31,27.9,9
26,337,27,2023-12-23,OKC,,LAL,L 120-129,*,38:15:00,12,21,0.571,1,5,0.2,11,16,0.688,0.595,9,10,0.9,1,4,5,7,3,0,3,2,34,29.7,-6
27,338,28,2023-12-26,OKC,,MIN,W 129-106,*,33:26:00,14,19,0.737,0,3,0,14,16,0.875,0.737,6,7,0.857,0,6,6,9,2,1,3,3,34,32.5,17
28,339,29,2023-12-27,OKC,,NYK,W 129-120,*,36:22:00,13,23,0.565,2,5,0.4,11,18,0.611,0.609,8,9,0.889,1,6,7,8,2,2,1,0,36,35.2,12
29,340,30,2023-12-29,OKC,@,DEN,W 119-93,*,33:23:00,14,20,0.7,2,3,0.667,12,17,0.706,0.75,10,10,1,0,4,4,3,2,1,1,3,40,35.4,21
30,341,31,2023-12-31,OKC,,BRK,W 124-108,*,34:46:00,7,15,0.467,1,2,0.5,6,13,0.462,0.5,9,9,1,0,4,4,6,0,0,1,2,24,19.9,9
31,342,32,2024-01-02,OKC,,BOS,W 127-123,*,36:38:00,14,22,0.636,3,5,0.6,11,17,0.647,0.705,5,8,0.625,0,6,6,7,1,0,0,5,36,30.7,3
32,343,33,2024-01-03,OKC,@,ATL,L 138-141,*,35:24:00,11,24,0.458,2,3,0.667,9,21,0.429,0.5,9,11,0.818,1,12,13,8,0,0,2,2,33,26.9,2
33,344,34,2024-01-05,OKC,@,BRK,L 115-124,*,35:44:00,11,19,0.579,2,5,0.4,9,14,0.643,0.632,10,15,0.667,1,8,9,6,0,0,2,5,34,26.4,-10
